id,year,clearance,carclass,height,length,doorscount,width,fuelconsumption,bodytype,power,cost,availabilitycount,photo,mark,model,dB_at_idle,dB_at_50kmh,dB_at_80kmh,dB_at_100kmh,dB_at_120kmh,dB_at_140kmh,X,Y
694,2012,150,M,1811,4819,5,1884,-1,MINIVAN,115,1000000,1,http://avatars.mds.yandex.net/get-verba/216201/2a000001609cee5a423b94a2ea2370dfad44/cattouchret,Ford,Galaxy,,,,,,,0.08785109,-14.882571
695,2013,150,M,1811,4819,5,1884,-1,MINIVAN,115,550000,1,http://avatars.mds.yandex.net/get-verba/216201/2a000001609cee5a423b94a2ea2370dfad44/cattouchret,Ford,Galaxy,,,,,,,0.08711515,-14.882573
696,2016,124,M,1747,4848,5,1916,-1,MINIVAN,160,1700000,1,http://avatars.mds.yandex.net/get-verba/937147/2a0000016091d9682a61f0320aebe9d5b347/cattouchret,Ford,Galaxy,,,,,,,-2.9880683,-7.015981
697,2011,188,J,1677,4443,5,1842,-1,ALLROAD_5_DOORS,140,850000,4,http://avatars.mds.yandex.net/get-verba/1030388/2a000001609d4581237d55340cbeaeaaca2c/cattouchret,Ford,Kuga,,,,,,,11.30607,-4.7375803
698,2012,198,J,1745,4524,5,1838,-1,ALLROAD_5_DOORS,150,1000000,4,http://avatars.mds.yandex.net/get-verba/787013/2a000001609d70d3f1e12d202a4b9def4065/cattouchret,Ford,Kuga,,,,,,,11.843002,-9.923486
699,2013,198,J,1745,4524,5,1838,-1,ALLROAD_5_DOORS,150,1100000,21,http://avatars.mds.yandex.net/get-verba/787013/2a000001609d70d3f1e12d202a4b9def4065/cattouchret,Ford,Kuga,,,,,,,11.84294,-9.923503
700,2014,198,J,1745,4524,5,1838,-1,ALLROAD_5_DOORS,150,1200000,13,http://avatars.mds.yandex.net/get-verba/787013/2a000001609d70d3f1e12d202a4b9def4065/cattouchret,Ford,Kuga,,,,,,,11.842929,-9.923501
701,2015,198,J,1745,4524,5,1838,-1,ALLROAD_5_DOORS,150,1300000,6,http://avatars.mds.yandex.net/get-verba/787013/2a000001609d70d3f1e12d202a4b9def4065/cattouchret,Ford,Kuga,,,,,,,11.842937,-9.923502
702,2016,200,J,1694,4531,5,1838,-1,ALLROAD_5_DOORS,150,1400000,10,http://avatars.mds.yandex.net/get-verba/216201/2a00000160980deaef0f2314c5460de744b4/cattouchret,Ford,Kuga,,,,,,,11.074081,-9.627971
703,2017,200,J,1694,4531,5,1838,-1,ALLROAD_5_DOORS,150,1700000,15,http://avatars.mds.yandex.net/get-verba/216201/2a00000160980deaef0f2314c5460de744b4/cattouchret,Ford,Kuga,,,,,,,11.074063,-9.6278925
