car_full_id,X,Y
447_2011_BMW_X6,8.992119,5.6529245
448_2012_BMW_X6,8.964688,5.680272
449_2013_BMW_X6,8.964691,5.680277
450_2014_BMW_X6,9.187659,5.8060193
451_2015_BMW_X6,9.187659,5.8060184
452_2016_BMW_X6,9.18766,5.806014
453_2017_BMW_X6,9.1877985,5.806081
454_2018_BMW_X6,9.1877985,5.8060813
455_2019_BMW_X6,8.946495,7.2353325
456_2020_BMW_X6,8.946517,7.2354946
457_2011_BMW_X6 M,11.376076,3.5057404
458_2012_BMW_X6 M,11.366342,3.5144281
459_2013_BMW_X6 M,11.366345,3.5144377
460_2015_BMW_X6 M,11.447837,3.4670668
461_2016_BMW_X6 M,11.447843,3.4670634
462_2017_BMW_X6 M,11.447843,3.4670653
463_2018_BMW_X6 M,11.447843,3.4670644
464_2020_BMW_X6 M,11.555714,3.4041567
465_2019_BMW_X7,11.071964,12.898257
466_2020_BMW_X7,11.071965,12.898243
467_2010_Chevrolet_Aveo,-18.088146,-4.663479
468_2010_Chevrolet_Aveo,-7.084901,-11.430363
469_2011_Chevrolet_Aveo,-15.952819,-3.3425717
470_2011_Chevrolet_Aveo,-4.4338765,-12.009602
471_2012_Chevrolet_Aveo,-4.4338865,-12.0094595
472_2013_Chevrolet_Aveo,-15.952489,-3.342541
473_2013_Chevrolet_Aveo,-4.4337273,-12.009579
474_2014_Chevrolet_Aveo,-15.9526415,-3.3425725
475_2014_Chevrolet_Aveo,-4.433878,-12.009611
476_2015_Chevrolet_Aveo,-4.4337277,-12.009579
477_2010_Chevrolet_Camaro,11.179215,-2.3732488
478_2012_Chevrolet_Camaro,11.179216,-2.3732517
479_2013_Chevrolet_Camaro,11.180829,-2.3714435
480_2014_Chevrolet_Camaro,11.180827,-2.3714397
481_2016_Chevrolet_Camaro,10.9847765,-3.2754028
482_2018_Chevrolet_Camaro,10.982404,-3.2776055
483_2019_Chevrolet_Camaro,10.982414,-3.2775855
484_2010_Chevrolet_Captiva,-4.3809166,9.972449
485_2011_Chevrolet_Captiva,-2.3738298,11.88273
486_2012_Chevrolet_Captiva,-2.3738337,11.882719
487_2013_Chevrolet_Captiva,-2.1683347,11.55928
488_2014_Chevrolet_Captiva,-2.1683514,11.559197
489_2013_Chevrolet_Cobalt,-4.488292,-5.380498
490_2014_Chevrolet_Cobalt,-4.488272,-5.3805013
491_2014_Chevrolet_Corvette,0.06745442,-17.1413
492_2010_Chevrolet_Cruze,1.9692085,-6.189723
493_2011_Chevrolet_Cruze,-2.4380622,-5.1329403
494_2011_Chevrolet_Cruze,1.9690484,-6.1900716
495_2012_Chevrolet_Cruze,-2.1152828,-4.8196015
496_2012_Chevrolet_Cruze,1.9562731,-6.3933206
497_2013_Chevrolet_Cruze,-2.1152723,-4.819608
498_2013_Chevrolet_Cruze,4.6257863,-6.764439
499_2013_Chevrolet_Cruze,1.9562724,-6.3933215
500_2014_Chevrolet_Cruze,-2.115283,-4.8196
501_2014_Chevrolet_Cruze,1.9562768,-6.3933215
502_2015_Chevrolet_Cruze,-4.6591353,-7.170411
503_2015_Chevrolet_Cruze,4.8400946,-8.601601
504_2010_Chevrolet_Epica,11.609711,-11.976805
505_2011_Chevrolet_Epica,11.609712,-11.976802
506_2012_Chevrolet_Epica,11.609637,-11.977142
507_2018_Chevrolet_Equinox,-1.5671722,7.911445
508_2012_Chevrolet_Express,11.866268,16.712757
509_2010_Chevrolet_Lacetti,-8.976095,-12.441292
510_2010_Chevrolet_Lacetti,-1.9258215,-8.240572
511_2011_Chevrolet_Lacetti,-8.976095,-12.441297
512_2011_Chevrolet_Lacetti,0.6137913,-5.021707
513_2011_Chevrolet_Lacetti,-1.9259799,-8.240378
514_2012_Chevrolet_Lacetti,0.6138027,-5.0217223
515_2012_Chevrolet_Lacetti,-1.9258211,-8.240571
516_2010_Chevrolet_Niva,-19.493559,2.6052954
517_2011_Chevrolet_Niva,-19.493433,2.6051774
518_2012_Chevrolet_Niva,-19.493443,2.6051946
519_2013_Chevrolet_Niva,-19.493444,2.6051936
520_2014_Chevrolet_Niva,-19.493446,2.60519
521_2015_Chevrolet_Niva,-19.493448,2.6051912
522_2016_Chevrolet_Niva,-19.49336,2.605134
523_2017_Chevrolet_Niva,-19.493357,2.605134
524_2018_Chevrolet_Niva,-19.493338,2.6051269
525_2019_Chevrolet_Niva,-19.49334,2.605128
526_2011_Chevrolet_Orlando,-1.9123598,5.7751675
527_2012_Chevrolet_Orlando,-1.9124391,5.7752185
528_2013_Chevrolet_Orlando,-1.9124556,5.7750454
529_2014_Chevrolet_Orlando,-1.9123738,5.775222
530_2020_Chevrolet_Silverado,12.151618,17.291647
531_2011_Chevrolet_Spark,-22.111893,-2.9532878
532_2013_Chevrolet_Spark,-22.111877,-2.9511826
533_2011_Chevrolet_Tahoe,8.732432,15.050233
534_2012_Chevrolet_Tahoe,8.7322235,15.049807
535_2013_Chevrolet_Tahoe,8.732433,15.050237
536_2015_Chevrolet_Tahoe,9.587504,15.1696415
537_2016_Chevrolet_Tahoe,9.587361,15.169845
538_2017_Chevrolet_Tahoe,9.587501,15.169635
539_2018_Chevrolet_Tahoe,9.587377,15.169814
540_2019_Chevrolet_Tahoe,9.587377,15.169815
541_2014_Chevrolet_TrailBlazer,0.36462575,17.215094
542_2018_Chevrolet_Traverse,10.678645,13.6605625
543_2020_Chevrolet_Traverse,10.678648,13.660581
544_2012_Chevrolet_Volt,-2.659609,-6.661895
545_2014_Chevrolet_Volt,-2.6605499,-6.6617627
546_2019_Chrysler_Pacifica,10.911788,13.656956
547_2010_Chrysler_Voyager,12.410254,11.961192
548_2014_Chrysler_Voyager,11.088761,12.842831
549_2011_Citroen_Berlingo,-11.408027,9.45307
550_2012_Citroen_Berlingo,-11.374631,9.444064
551_2016_Citroen_Berlingo,-11.363643,9.444786
552_2010_Citroen_C-Crosser,-3.6627471,7.4036446
553_2011_Citroen_C-Crosser,-3.6627474,7.4036446
554_2013_Citroen_C-Elysee,-3.0361412,-11.392831
555_2010_Citroen_C1,-23.095976,-2.8452637
556_2011_Citroen_C1,-23.096312,-2.845485
557_2013_Citroen_C1,-23.095963,-2.84526
558_2011_Citroen_C3,-17.69662,-4.297572
559_2018_Citroen_C3 Aircross,-16.716019,3.2626803
560_2011_Citroen_C3 Picasso,-18.858025,2.307764
561_2012_Citroen_C3 Picasso,-18.549778,2.46628
562_2013_Citroen_C3 Picasso,-18.549892,2.4663966
563_2010_Citroen_C4,-10.044142,-9.82272
564_2010_Citroen_C4,-11.243731,-13.156024
565_2011_Citroen_C4,-10.044089,-9.8227625
566_2012_Citroen_C4,-10.0442505,-9.822846
567_2013_Citroen_C4,3.0920222,-5.711332
568_2014_Citroen_C4,3.0920215,-5.7113338
569_2015_Citroen_C4,3.0920558,-5.7110324
570_2016_Citroen_C4,3.0920544,-5.711032
571_2017_Citroen_C4,3.092071,-5.7111306
572_2018_Citroen_C4,3.0920527,-5.7110333
573_2014_Citroen_C4 Aircross,-10.522657,1.424451
574_2010_Citroen_C4 Picasso,-6.4788985,4.0391693
575_2011_Citroen_C4 Picasso,-6.478898,4.039169
576_2015_Citroen_C4 Picasso,-1.8210965,9.504601
577_2017_Citroen_C4 Picasso,-5.296393,5.6530004
578_2010_Citroen_C5,14.6528845,-10.349134
579_2010_Citroen_C5,10.01422,-13.22626
580_2011_Citroen_C5,14.653086,-10.34845
581_2011_Citroen_C5,10.014832,-13.226996
582_2012_Citroen_C5,10.014221,-13.22626
583_2011_Citroen_C6,13.948504,-5.349354
584_2010_Citroen_DS3,-17.808083,-5.2188034
585_2011_Citroen_DS3,-17.80808,-5.2188034
586_2012_Citroen_DS3,-17.80808,-5.218805
587_2013_Citroen_DS3,-17.808113,-5.2189803
588_2014_Citroen_DS3,-17.808111,-5.218978
589_2013_Citroen_DS4,-11.118618,-10.372916
590_2012_Citroen_DS5,-1.4976909,-2.7316563
591_2014_Citroen_DS5,-1.4976913,-2.7316566
592_2017_Citroen_SpaceTourer,15.072112,14.460877
593_2018_Citroen_SpaceTourer,15.07211,14.460878
594_2019_Citroen_SpaceTourer,15.072109,14.460877
595_2020_Citroen_SpaceTourer,15.072108,14.460882
596_2014_Daewoo_Gentra,-1.9760572,-8.342287
597_2015_Daewoo_Gentra,-1.975851,-8.342424
598_2010_Daewoo_Matiz,-22.339132,-2.904492
599_2011_Daewoo_Matiz,-22.339115,-2.9045286
600_2012_Daewoo_Matiz,-22.33911,-2.9045262
601_2010_Daewoo_Nexia,-1.6529139,-9.762618
602_2011_Daewoo_Nexia,-1.6529136,-9.762616
603_2012_Daewoo_Nexia,-1.6529137,-9.762617
604_2013_Daewoo_Nexia,-1.6529107,-9.762616
605_2015_Daihatsu_Hijet,-24.315748,-1.7533473
606_2017_Daihatsu_Hijet,-24.315765,-1.7533472
607_2016_Daihatsu_Move,-24.091633,-2.0037875
608_2017_Daihatsu_Thor,-20.819096,-2.3972642
609_2011_Dodge_Caliber,-6.75363,-4.305897
610_2010_Dodge_Caravan,12.517067,11.987545
1035_2019_Kia_Rio,-3.2448533,-12.49188
611_2016_Dodge_Caravan,12.517026,11.987544
612_2018_Dodge_Caravan,12.517029,11.987547
613_2012_Dodge_Challenger,15.818971,-0.13047172
614_2015_Dodge_Challenger,13.476444,1.9919789
615_2016_Dodge_Challenger,13.476445,1.991984
616_2018_Dodge_Challenger,13.476445,1.9919865
617_2019_Dodge_Challenger,13.476447,1.9919864
618_2019_Dodge_Durango,9.086516,14.583828
619_2010_Dodge_Journey,4.7488174,3.6691604
620_2011_Dodge_Journey,4.505329,3.0852757
621_2010_Dodge_RAM,11.811979,15.329764
622_2013_Dodge_RAM,11.81195,15.3297615
623_2018_Dodge_RAM,11.811927,15.32979
624_2019_Dodge_RAM,11.811927,15.329788
625_2012_FIAT_500,-22.589926,-2.9221177
626_2016_FIAT_500,-21.723106,0.18150906
627_2017_FIAT_500,-21.72308,0.1815142
628_2010_FIAT_Albea,-13.0986805,-5.069625
629_2011_FIAT_Albea,-13.098601,-5.069729
630_2010_FIAT_Doblo,-1.9681641,17.81808
631_2011_FIAT_Doblo,-1.9681894,17.818108
632_2012_FIAT_Doblo,-1.9681896,17.818104
633_2014_FIAT_Doblo,-1.9681906,17.818113
634_2013_FIAT_Freemont,4.848764,3.7338881
635_2017_FIAT_Fullback,15.803206,12.246068
636_2011_FIAT_Linea,0.7092761,-4.5537066
637_2014_Ford_EcoSport,-12.959076,4.881927
638_2015_Ford_EcoSport,-12.959077,4.881928
639_2016_Ford_EcoSport,-12.959079,4.881928
640_2017_Ford_EcoSport,-11.979194,4.769666
641_2018_Ford_EcoSport,-11.979194,4.769667
642_2014_Ford_Edge,1.5238272,10.650995
643_2011_Ford_Explorer,9.503184,10.257225
644_2012_Ford_Explorer,9.503189,10.257225
645_2013_Ford_Explorer,9.50309,10.257202
646_2014_Ford_Explorer,9.503215,10.2571945
647_2015_Ford_Explorer,9.862392,10.27524
648_2016_Ford_Explorer,9.862402,10.27524
649_2017_Ford_Explorer,9.839094,10.286016
650_2018_Ford_Explorer,9.839096,10.286006
651_2019_Ford_Explorer,10.2301035,11.035764
652_2018_Ford_F-150,12.156211,17.300383
653_2011_Ford_Fiesta,-17.61103,-5.4703403
654_2015_Ford_Fiesta,-17.520529,-4.9672747
655_2015_Ford_Fiesta,-6.9468026,-11.693518
656_2016_Ford_Fiesta,-17.520529,-4.9672747
657_2016_Ford_Fiesta,-6.9468017,-11.693516
658_2017_Ford_Fiesta,-6.9467893,-11.693666
659_2018_Ford_Fiesta,-15.374799,-3.2976027
660_2019_Ford_Fiesta,-15.374804,-3.2976072
661_2010_Ford_Focus,-9.613019,-8.46633
662_2010_Ford_Focus,-9.613148,-8.466507
